"left","right","status","reason"
"IN-01","IN-01","self","same rule"
"IN-01","IN-02","orthogonal","different decision"
"IN-01","IN-03","orthogonal","different decision"
"IN-01","IN-04","orthogonal","different decision"
"IN-01","IN-05","orthogonal","different decision"
"IN-01","SL-01","orthogonal","different decision"
"IN-01","SL-02","orthogonal","different decision"
"IN-01","SL-03","orthogonal","different decision"
"IN-01","SL-04","orthogonal","different decision"
"IN-01","SL-05","orthogonal","different decision"
"IN-01","SL-06","orthogonal","different decision"
"IN-01","SL-07","orthogonal","different decision"
"IN-01","SL-08","orthogonal","different decision"
"IN-01","SL-09","orthogonal","different decision"
"IN-01","SL-10","orthogonal","different decision"
"IN-01","SL-11","orthogonal","different decision"
"IN-01","SL-12","orthogonal","different decision"
"IN-01","SL-13","orthogonal","different decision"
"IN-01","SL-14","orthogonal","different decision"
"IN-01","SL-15","orthogonal","different decision"
"IN-01","SQ-01","orthogonal","different decision"
"IN-01","SQ-02","orthogonal","different decision"
"IN-01","SQ-03","orthogonal","different decision"
"IN-01","SQ-04","orthogonal","different decision"
"IN-01","SQ-05","orthogonal","different decision"
"IN-01","GR-01","orthogonal","different decision"
"IN-01","GR-02","orthogonal","different decision"
"IN-01","GR-18","orthogonal","different decision"
"IN-01","GR-19","orthogonal","different decision"
"IN-01","GR-20","orthogonal","different decision"
"IN-01","GR-03","orthogonal","different decision"
"IN-01","GR-04","orthogonal","different decision"
"IN-01","GR-05","orthogonal","different decision"
"IN-01","GR-06","orthogonal","different decision"
"IN-01","GR-07","orthogonal","different decision"
"IN-01","GR-08","orthogonal","different decision"
"IN-01","GR-09","orthogonal","different decision"
"IN-01","GR-10","orthogonal","different decision"
"IN-01","GR-11","orthogonal","different decision"
"IN-01","GR-12","orthogonal","different decision"
"IN-01","GR-13","orthogonal","different decision"
"IN-01","GR-14","orthogonal","different decision"
"IN-01","GR-15","orthogonal","different decision"
"IN-01","GR-16","orthogonal","different decision"
"IN-01","GR-17","orthogonal","different decision"
"IN-01","PS-01","orthogonal","different decision"
"IN-01","PS-02","orthogonal","different decision"
"IN-01","PS-03","orthogonal","different decision"
"IN-01","PS-04","orthogonal","different decision"
"IN-01","PS-05","orthogonal","different decision"
"IN-01","PS-06","orthogonal","different decision"
"IN-01","PS-07","orthogonal","different decision"
"IN-01","PS-08","orthogonal","different decision"
"IN-01","PS-09","orthogonal","different decision"
"IN-01","PS-10","orthogonal","different decision"
"IN-01","PS-11","orthogonal","different decision"
"IN-01","PS-12","orthogonal","different decision"
"IN-01","PS-13","orthogonal","different decision"
"IN-01","PS-14","orthogonal","different decision"
"IN-01","PS-15","orthogonal","different decision"
"IN-01","BD-01","orthogonal","different decision"
"IN-01","BD-02","orthogonal","different decision"
"IN-01","BD-03","orthogonal","different decision"
"IN-01","BD-04","orthogonal","different decision"
"IN-01","BD-05","orthogonal","different decision"
"IN-01","BD-06","orthogonal","different decision"
"IN-01","BD-07","orthogonal","different decision"
"IN-01","AR-01","orthogonal","different decision"
"IN-01","AR-02","orthogonal","different decision"
"IN-01","AR-03","orthogonal","different decision"
"IN-01","AR-04","orthogonal","different decision"
"IN-01","AR-05","orthogonal","different decision"
"IN-01","AR-06","orthogonal","different decision"
"IN-01","AR-07","orthogonal","different decision"
"IN-01","AR-08","orthogonal","different decision"
"IN-01","AR-09","orthogonal","different decision"
"IN-01","AR-10","orthogonal","different decision"
"IN-01","AR-11","orthogonal","different decision"
"IN-01","AR-12","orthogonal","different decision"
"IN-01","AR-13","orthogonal","different decision"
"IN-01","AR-14","orthogonal","different decision"
"IN-01","AR-15","orthogonal","different decision"
"IN-01","AR-16","orthogonal","different decision"
"IN-01","AR-17","orthogonal","different decision"
"IN-01","MV-01","orthogonal","different decision"
"IN-01","MV-02","orthogonal","different decision"
"IN-01","MV-03","orthogonal","different decision"
"IN-01","MV-04","orthogonal","different decision"
"IN-01","MV-05","orthogonal","different decision"
"IN-01","MV-06","orthogonal","different decision"
"IN-01","MV-07","orthogonal","different decision"
"IN-01","MV-08","orthogonal","different decision"
"IN-01","MV-09","orthogonal","different decision"
"IN-01","MV-10","orthogonal","different decision"
"IN-01","MV-11","orthogonal","different decision"
"IN-01","MV-12","orthogonal","different decision"
"IN-01","MV-13","orthogonal","different decision"
"IN-01","MV-14","orthogonal","different decision"
"IN-01","MV-15","orthogonal","different decision"
"IN-01","MV-16","orthogonal","different decision"
"IN-01","MV-17","orthogonal","different decision"
"IN-01","MV-18","orthogonal","different decision"
"IN-01","MV-19","orthogonal","different decision"
"IN-01","MV-20","orthogonal","different decision"
"IN-01","MV-21","orthogonal","different decision"
"IN-01","MV-22","orthogonal","different decision"
"IN-01","MV-23","orthogonal","different decision"
"IN-01","MV-24","orthogonal","different decision"
"IN-01","MV-25","orthogonal","different decision"
"IN-01","MV-26","orthogonal","different decision"
"IN-01","MV-27","orthogonal","different decision"
"IN-01","MV-28","orthogonal","different decision"
"IN-01","MV-29","orthogonal","different decision"
"IN-01","MV-30","orthogonal","different decision"
"IN-01","MV-31","orthogonal","different decision"
"IN-01","MV-32","orthogonal","different decision"
"IN-01","MV-33","orthogonal","different decision"
"IN-01","MV-34","orthogonal","different decision"
"IN-01","MV-35","orthogonal","different decision"
"IN-01","MV-36","orthogonal","different decision"
"IN-01","MV-37","orthogonal","different decision"
"IN-01","MV-38","orthogonal","different decision"
"IN-01","MV-39","orthogonal","different decision"
"IN-01","MV-40","orthogonal","different decision"
"IN-01","VS-01","orthogonal","different decision"
"IN-01","VS-02","orthogonal","different decision"
"IN-01","VS-03","orthogonal","different decision"
"IN-01","VS-04","orthogonal","different decision"
"IN-01","VS-05","orthogonal","different decision"
"IN-01","VS-06","orthogonal","different decision"
"IN-01","VS-07","orthogonal","different decision"
"IN-01","VS-08","orthogonal","different decision"
"IN-01","VS-09","orthogonal","different decision"
"IN-01","DP-01","orthogonal","different decision"
"IN-01","DP-02","orthogonal","different decision"
"IN-01","DP-03","orthogonal","different decision"
"IN-01","DP-04","orthogonal","different decision"
"IN-01","DP-05","orthogonal","different decision"
"IN-01","DP-06","orthogonal","different decision"
"IN-01","DP-07","orthogonal","different decision"
"IN-01","DP-08","orthogonal","different decision"
"IN-01","DP-09","orthogonal","different decision"
"IN-01","DP-10","orthogonal","different decision"
"IN-01","DP-11","orthogonal","different decision"
"IN-01","DP-13","orthogonal","different decision"
"IN-01","DP-14","orthogonal","different decision"
"IN-01","DP-12","orthogonal","different decision"
"IN-01","JS-01","orthogonal","different decision"
"IN-01","JS-02","orthogonal","different decision"
"IN-01","JS-03","orthogonal","different decision"
"IN-01","JS-04","orthogonal","different decision"
"IN-01","JS-05","orthogonal","different decision"
"IN-01","JS-06","orthogonal","different decision"
"IN-01","JS-07","orthogonal","different decision"
"IN-01","JS-08","orthogonal","different decision"
"IN-01","JS-09","orthogonal","different decision"
"IN-01","JS-10","orthogonal","different decision"
"IN-01","KB-01","orthogonal","different decision"
"IN-01","KB-02","orthogonal","different decision"
"IN-01","KB-03","orthogonal","different decision"
"IN-01","KB-04","orthogonal","different decision"
"IN-01","KB-05","orthogonal","different decision"
"IN-01","KB-06","orthogonal","different decision"
"IN-01","KB-07","orthogonal","different decision"
"IN-01","KB-08","orthogonal","different decision"
"IN-01","KB-09","orthogonal","different decision"
"IN-01","KB-10","orthogonal","different decision"
"IN-01","KB-11","orthogonal","different decision"
"IN-01","KB-12","orthogonal","different decision"
"IN-01","KB-13","orthogonal","different decision"
"IN-01","KB-15","orthogonal","different decision"
"IN-01","KB-14","orthogonal","different decision"
"IN-01","SV-01","orthogonal","different decision"
"IN-01","SV-02","orthogonal","different decision"
"IN-01","SV-03","orthogonal","different decision"
